time,lat,lon,alt,reducedChi2,PdBW,mask
75603.56760403,30.72452877,-95.11085487,9345.73,0.22,6.5,0x2e28
75603.591929279,30.71258742,-95.10278464,13771.99,0.23,19.2,0x3e28
75603.618577811,30.81108939,-95.22349327,9589.2,0.33,2.6,0x3628
75603.627250646,30.71402329,-95.25047524,8537.13,2.66,15.0,0x3e08
75603.627797146,30.70391402,-95.24781165,9493.83,0.34,8.4,0x3e28
75603.628832109,30.71809056,-95.24388177,9236.51,0.1,-1.1,0x3c28
75603.635577889,30.68909307,-95.24589607,10521.3,4.72,10.6,0x3e28
75603.635686227,30.70751215,-95.24289192,9699.85,0.09,8.7,0x3e28
75603.641774717,30.70492951,-95.1041729,13504.05,0.08,9.7,0x3f28
75603.642638821,30.7061237,-95.23933994,9649.75,0.07,7.4,0x3a28
75603.642718553,30.70497174,-95.24037302,11095.18,1.02,13.1,0x3e28
75603.647446753,30.69222451,-95.23961038,9787.55,0.43,7.2,0x3a28
75603.651068754,30.70835121,-95.23514438,10193.67,0.27,5.3,0x3e28
75603.656543432,30.70983499,-95.23687444,10743.55,0.13,6.8,0x3e28
75603.658794282,30.71873759,-95.23101829,10574.57,0.94,8.1,0x3e28
75603.661034524,30.70484382,-95.23806467,10897.08,0.25,12.5,0x3a28
75603.662494528,30.71006997,-95.23487493,10782.98,0.02,6.7,0x3e08
75603.665313511,30.71031766,-95.23240279,11406.0,2.48,10.1,0x3ba8
75603.666220616,30.71900013,-95.22961513,12179.33,0.68,10.4,0x2e28
75603.666365618,30.7126995,-95.23044262,11139.28,0.32,4.5,0x1f20
75603.666714429,30.70273982,-95.23345994,10210.29,1.16,16.2,0x3e28
75603.667591077,30.70557382,-95.23073765,10053.48,0.31,1.2,0x3d28
75603.674120784,30.71852782,-95.22964703,11124.74,0.54,9.8,0x1e28
75603.699558544,30.66760373,-95.25955225,13361.57,0.28,10.0,0x3e28
75603.731229196,30.68154641,-95.23292957,8313.02,1.72,8.9,0x3e08
75603.731519655,30.70529853,-95.22468244,8508.27,0.09,6.0,0x3e28
75603.739151198,30.71408254,-95.22053796,11437.46,0.17,4.4,0x3e28
75603.739615379,30.73280129,-95.23554567,11218.86,0.34,1.7,0x3e20
75603.739836455,30.70087247,-95.23590885,11260.4,0.24,6.5,0x3e28
75603.740159638,30.70150421,-95.23544605,10767.9,2.4,10.8,0x3f28
75603.741520395,30.70117988,-95.2336085,7733.34,0.22,-0.5,0x3c28
75603.74579447,30.69784108,-95.23072464,11157.94,1.3,-2.4,0x3c28
75603.747702182,30.70488543,-95.2242327,10635.63,0.69,0.1,0x3c88
75603.748452425,30.73009683,-95.2205723,11400.0,3.4,9.2,0x3f28
75603.826998419,30.70300038,-95.22214752,9300.58,1.4,7.4,0x3e20
75603.875179861,30.70939457,-95.22073663,11533.04,2.4,11.7,0x3b28
75604.231097514,30.63819777,-95.26348631,13721.99,3.81,8.4,0x2e28
75604.231581601,30.62509139,-95.26439928,14402.48,1.26,13.4,0x3e28
75604.232862073,30.63161,-95.263986,13882.95,0.33,17.3,0x3e28
75604.23337934,30.63033947,-95.26395262,13886.49,0.06,10.9,0x3f28
75604.244085274,30.63321779,-95.26414395,13932.65,0.36,6.9,0x3e28
75604.247742378,30.73772619,-95.21516984,16527.09,1.18,23.0,0x3c28
75604.305350599,30.62862762,-95.28172804,11988.0,3.38,2.6,0x3ea8
75604.350067051,30.66368823,-95.2834083,14304.45,0.62,0.3,0x3c28
75604.378962726,30.63261775,-95.28304005,13356.61,0.23,20.4,0x3e08
75604.603461489,30.67093569,-95.22507557,14781.46,2.43,0.6,0x3f20
75604.631815103,30.64608841,-95.25901143,12896.94,0.49,6.5,0x3c28
75606.348212632,30.66468908,-95.18132097,10623.92,1.87,5.7,0x2e28
75606.354450693,30.68606117,-95.17712369,10739.97,0.03,8.3,0x2e28
75606.357844097,30.69203642,-95.17424325,11109.83,1.01,6.1,0x3c28
75606.35877225,30.68978265,-95.17366325,11090.97,3.59,5.0,0x1f28
75606.359486156,30.68276601,-95.17627168,10944.95,0.23,15.0,0x3e28
75606.359691974,30.69306533,-95.17510496,10946.58,0.27,12.1,0x3e28
75606.36143437,30.68509785,-95.17515569,10772.97,0.46,13.6,0x3e28
75606.363146063,30.68462547,-95.17398446,11007.04,0.07,6.7,0x3e28
75606.371021991,30.68316677,-95.17529302,11010.12,0.16,4.8,0x3e28
75606.384217473,30.69018862,-95.17720823,11000.25,0.08,10.2,0x3e28
75606.387534256,30.68970126,-95.17941549,11139.04,0.79,6.9,0x2e28
75606.388352297,30.68668192,-95.17712234,10694.87,2.06,12.3,0x3e28
75606.388879328,30.70479549,-95.17651031,11908.72,1.06,11.1,0x2e28
75606.388966235,30.69192872,-95.17920814,11127.46,0.14,6.8,0x3e28
75606.389116127,30.68148978,-95.18009786,11247.94,0.88,17.0,0x3e28
75606.390549637,30.6831495,-95.18278242,11320.14,0.65,1.7,0x3e20
75606.398255236,30.69183437,-95.1818806,11162.02,0.05,14.1,0x3e28
75606.403360084,30.69465861,-95.17922189,12263.35,2.14,12.8,0x2e28
75606.41678939,30.68450152,-95.1786026,10907.52,0.11,5.3,0x3e28
75606.418388712,30.70116625,-95.17710533,9001.98,2.57,4.7,0x3a28
75606.419666212,30.68451321,-95.1780579,10972.41,0.18,5.8,0x3e28
75606.420835428,31.02946679,-95.05730765,16270.36,0.56,10.4,0x2b28
75606.421275672,30.69091579,-95.17921976,10835.57,0.28,10.2,0x3e28
75606.421360422,30.68259797,-95.17835397,10162.89,3.02,10.7,0x3f28
75606.421673801,30.68191163,-95.17784369,11084.57,0.02,14.0,0x3e28
75606.42197723,30.68862894,-95.17656702,11027.89,0.04,4.4,0x2e28
75606.426362586,30.6717506,-95.17897297,11560.06,1.15,5.7,0x3e28
75606.427284489,30.67933515,-95.17930234,11494.9,0.25,5.6,0x3e08
75606.516709866,30.70230153,-95.17059189,9082.39,3.86,5.1,0x3d28
75606.518020161,30.68964444,-95.17531261,10836.07,0.13,14.6,0x3e28
75606.518096009,30.7088368,-95.1729273,11062.08,0.8,14.8,0x2e28
75606.536207187,30.68174031,-95.17993917,11451.16,0.08,13.4,0x3a28
75606.933444584,30.67938727,-95.22803592,11386.55,0.55,7.7,0x2e28
75606.937341696,30.69808634,-95.22044475,11329.56,0.14,10.9,0x3e28
75606.939131325,30.68108199,-95.22221482,11469.22,0.24,4.3,0x3f28
75606.939534099,30.72510515,-95.21666176,11935.58,1.3,10.7,0x3e28
75606.939600739,30.69214851,-95.2187506,11340.06,0.05,6.1,0x3a28
75606.944587488,30.69810179,-95.21675295,11500.07,0.17,7.3,0x3a28
75606.948469968,30.69941171,-95.21640976,11876.02,0.15,-0.1,0x3c28
75606.948863423,30.68474575,-95.2214766,11687.68,0.63,12.8,0x3a28
75606.949684196,30.69463577,-95.21742973,11555.91,0.09,5.6,0x2e28
75606.955275692,30.69997403,-95.21435944,11589.9,0.27,6.5,0x3e28
75607.038693088,30.69277634,-95.21574044,11728.28,0.59,2.6,0x1e28
75607.102619169,30.69809056,-95.22172933,11278.11,0.48,21.4,0x3e28
75607.112159726,30.70001517,-95.21442252,11667.63,0.68,6.8,0x3e28
75607.119142444,30.69767738,-95.21507341,11231.7,0.39,14.6,0x3e28
75607.124290718,30.70842438,-95.21725869,11588.61,0.06,9.5,0x3e28
75607.125290299,30.70724627,-95.21806866,11589.51,0.02,11.3,0x2e28
75607.129606096,30.67777415,-95.21932078,10298.73,0.8,1.3,0x3e28
75607.13264304,30.7048657,-95.22016637,11656.02,0.14,11.4,0x3e28
75607.135748136,30.70508171,-95.22243539,11618.49,0.0,-0.6,0x3c28
75607.167621082,30.70584992,-95.23003473,10426.03,0.19,-0.9,0x3c28
75607.167899598,30.70551765,-95.2144072,11789.4,0.54,20.2,0x3b28
75607.249129911,30.69699634,-95.2467324,6139.34,3.94,7.3,0x3e28
75608.671180537,30.54841324,-95.21806288,9830.65,1.67,3.8,0x3a28
75608.671194487,30.73669265,-95.13986738,11981.93,0.11,5.1,0x3e28
75608.67135829,30.72313724,-95.1396523,12556.87,3.62,9.2,0x3e08
75608.672114056,30.73929414,-95.13491475,12625.65,0.06,5.1,0x3e28
